"waterbody_name","stationid","year_yyyy","month_mm","day_of_month_dd","time_hhmm","time_of_day","surf_or_int","surface_ph","surface_chla_ug_l","surface_tp_ug_l","secchi_depth_m","surface_temp_c","hypo_temp_c","thermocline_depth","NO2NO3_mgL","silica_mgL","dissolved_P_ugL","TKN_mgL","do_epi_mgL","do_hypo_mgL","conductivity_umho_cm","DOC_um","DIC_um","chloride_mgL","alkalinity_mgL","hardness_mgL","turbidity_NTU","TN_mgL"
"Tovel","A",2004,11,23,1200,"day","surf",8.34,2.51,3,9.1,4.77,4.8,NA,0.3862,0.6,3,NA,11.44,4.40866666666667,178,NA,NA,0.2711,105,108.84825,NA,0.396
"Tovel","A",2005,4,27,1200,"day","surf",7.94,2.64,1.9,11.4,8.2,4.7,NA,0.3197,0.66,1.9,NA,11.36,1.98666666666667,173,NA,NA,0.2635,101,102.79902,NA,0.386
"Tovel","A",2005,5,10,1200,"day","surf",8.38,1.36,2.03,15.9,10.09,4.7,NA,0.3549,0.68,2.03,NA,10.12,3.17307692307692,172,NA,NA,0.3057,101,103.86701,NA,0.446
"Tovel","A",2005,6,8,1200,"day","surf",8.07,1.47,3.1,10.8,10.69,4.7,NA,0.3896,0.7,3.1,NA,10.78,2.86733333333333,184,NA,NA,0.2817,106,107.82214865,NA,0.419
"Tovel","A",2005,7,5,1200,"day","surf",8.31,1.39,4,8.4,16.54,4.8,NA,0.3973,0.316,4,NA,9.02,2.23533333333333,174,NA,NA,0.2385,102,95.96569,NA,0.45
"Tovel","A",2005,8,2,1200,"day","surf",8.26,1.3,4.3,10.8,18.06,4.9,NA,0.363,0.26,4.3,NA,8.68,2.44533333333333,172,NA,NA,0.2171,101,103.85398,NA,0.448
"Tovel","A",2005,9,6,1200,"day","surf",8.1,0.7,3,19.4,15.75,5,NA,0.3442,0.58,3,NA,9.67,2.52733333333333,167,NA,NA,0.1586,99,100.42659,NA,0.424
"Tovel","A",2005,10,4,1200,"day","surf",8.34,0.72,1.4,17.7,10.5,5,NA,0.3186,0.62,1.4,NA,10.71,2.166,172,NA,NA,0.1951,99,101.71627,NA,0.506
"Tovel","A",2005,11,2,1200,"day","surf",7.86,1.15,2.3,22.4,7.77,5.2,NA,0.3643,0.69,2.3,NA,11.3,2.42133333333333,182,NA,NA,0.2479,107,107.67875,NA,0.446
"Tovel","A",2006,5,3,1200,"day","surf",7.16,2.57,3.3,12.5,8.36,4.4,NA,0.3894,0.822,3.3,NA,10.54,4.69538461538462,176,NA,NA,0.2868,102,103.83014,NA,0.496
"Tovel","A",2006,6,7,1200,"day","surf",7.29,1.51,3.6,12.2,10.21,4.5,NA,0.4281,0.78,3.6,NA,10.65,3.75,185,NA,NA,0.2045,109,113.64318,NA,0.5
"Tovel","A",2006,7,4,1200,"day","surf",7.6,1.77,3.6,9.2,16.82,4.6,NA,0.3744,0.66,3.6,NA,9.28,3.344,174,NA,NA,0.3009,104,108.34208,NA,0.416
"Tovel","A",2006,8,2,1200,"day","surf",7.28,1.85,2.5,11.4,18.47,4.7,NA,0.3515,0.48,2.5,NA,9.16,3.81466666666667,167,NA,NA,0.211,101,152.233517,NA,0.424
"Tovel","A",2006,9,5,1200,"day","surf",7.97,1.48,2.6,18.5,14.92,4.8,NA,0.3176,0.4,2.6,NA,9.76,3.06,174,NA,NA,0.2054,100,101.8643408,NA,0.424
"Tovel","A",2006,10,3,1200,"day","surf",7.95,1.23,2.8,17.9,12.97,4.9,NA,0.3502,0.6,2.8,NA,10.07,3.19733333333333,178,NA,NA,0.2673,101,139.2521704,NA,0.46
"Tovel","A",2006,11,7,1200,"day","surf",8.08,2.91,0.5,11.1,7.86,4.9,NA,NA,NA,0.5,NA,10.43,2.272,182,NA,NA,0.2,106,176.64,NA,NA
"Tovel","A",2006,12,5,1200,"day","surf",7.29,3.18,8,11.2,5.08,4.9,NA,NA,NA,2.8,NA,10.99,3.38214285714286,186,NA,NA,0.2,109,178.31,NA,NA
